tweetMentah,,
""" @gojekindonesia Hello Gojeknya .. saya mau nanya dong, teman saya ada panggilan gojek (Go-ride) tapi sudah lama, bu  https:/",,
@gojekindonesia om bikin gojek dong om di aussie,,
@gojekindonesia min nomer resi GK-66051403 bisa mnta cari driver baru??? dari jam 11.38 barang blm dipickup trs say  https://,,
@gojek_jkt_0715 @budakgojek @DriverGojekPro @YoGojekYo Pin yg terbuat dari Kevlar..,,
"""@herrysw Gojek kan pastinya punya data driver lengkap sama alamat, ktp, harusnya bisalah diusut @gojekindonesia""",,
@gojekindonesia Kok tampilan Gojek sekarang gini ya... Cara order gmn? https://t.co/baVz1yQDvr,://t,".co/V7tUcNmAlU"""
@gojekindonesia Gojek hanya kurang care sama mitranya...adakah yg kaya karena gojek...,/t.c,"o/20Wuicj4AJ"""
@gojekindonesia dear gojek. Please respon ya. Saya tdk bisa memakai akun saya.,co/y,"FJhWholFU"""
""" @gojekindonesia min, barusan saya ditelpon katanya dari gojek. Saya dapet 1jt bisa dimasukin ke gopay/rekening pribadi https",co/q,"6kU0xLMuW"""
""" @gojekindonesia Lalu, tlp saya matikan. Dia coba tlp berkali2. Tapi saya diamkan saja. Yg saya herankan, sms nya ada https:/",.co/,rlN6TnO24v
"""Demi fasilitas servis @gojekindonesia bisa di atur, HARGANYA nya NAUJUBILLAH. gue pake gojek kalau di stasiun aja  https://t.",,
""" @gojekindonesia saya mau mengeluhkan sikap gojek yang tidak pantas, tolong ditindaklanjuti segera krna driver ini https://t.",,
@gojekindonesia min kenapa driver gojek suka menunda2 paket antaran padahal tertulis same day @tokopedia beda sama  https://t,.co/,"M0uCiAjSNA"""
"""@gojekindonesia saya tidak dijemput dg gojek ini tp gopay saya terpotong, mohon info. Trims https://t.co/TFb1eKQ6ye""",a da,erah?
Met sore min @gojekindonesia maunnya knapa aplikasi gojek ga bisa melakukan pemesanan ya?,.co/,"M0uCiAjSNA"""
""" @gojekindonesia hi, barusan saya terima telfon dari 081238213362 yang berusaha melakukan penipuan atas nama gojek. https://t",,
Malam @gojekindonesia saya driver gojek.. Apa tidak ada tindakan dari pihak gojek terkait order fiktif yang merajalela di semu,://t,".co/V7tUcNmAlU"""
""" @gojekindonesia hi, barusan saya terima telfon dari 081238213362 yang berusaha melakukan penipuan atas nama gojek. https://t",,
"""@herrysw Gojek kan pastinya punya data driver lengkap sama alamat, ktp, harusnya bisalah diusut @gojekindonesia""",.co/,Pkn14koDMd
""" @gojekindonesia min, barusan saya ditelpon katanya dari gojek. Saya dapet 1jt bisa dimasukin ke gopay/rekening pribadi https",t.co,/XmWZl6jI7E
Sy br sj dpt tlp penipuan yg mengaku gojek dan meminta pin gopay. Pls fu! @gojekindonesia,t.co,/LJJeFacFL6
Dear @gojekindonesia saya pagi ini jam 10an baru sja isi saldo GOPAY dr bank Mandiri 300rb..tetapi sudah 1 jam knp  https://t,t.co,/aY5oe55vcI
@gojekindonesia kenapa ya sejak tanggal 2 maret 2018 saya tidak bisa order gojek setelah klik book selalu muncul bo  https://,,
@gojekindonesia Kak nanya donk.. Kalo kita ngasih lebih kepada driver..?? Apakah itu uang kelebihannya harus di set  https://,,
@gojekindonesia pelayanan costumer service dan kepastian nya sangat buruk. Melakukan withdraw tp uang tidak masuk k  https://,t.co,/SOJQMpmkGl
@gojekindonesia kantor gojek buka sampe jam berapa?,//t.,co/L988XfIJQH
"""Suka Dan Duka Driver Gojek, Jangan Lupa Share Dan Subscribe Ya Guys https://t.co/T8qy84Nutq""",,
@gojekindonesia minn gojek di cikuya tangerang belom ada :(((( plis buka gojek untuk wilayah cikuya dong biar mudah  https://,.co/,"srqGn84Giw"""
@gojekindonesia lagi bagi2 voucher gopay 1 juta rupiah kah? Malam2 ada yg nelpon mengaku dari gojek mau kasih voucher https:,,
"""Demi fasilitas servis @gojekindonesia bisa di atur, HARGAN""",,
""" @gojekindonesia Kemarin saya di telpon, terus saya kasih kode yang dikirim lewat sms. Tapi setelah itu saya curiga https://t",,
@tianfillio @DriverGojekPro @gojek_jkt_0715 @YoGojekYo @MitraGojekYk Kalo mau istirahat mending di off-in bang,,
Sy br sj dpt tlp penipuan yg mengaku gojek dan meminta pin gopay. Pls fu! @gojekindonesia,/t.c,"o/W8eBcsUzvn"""
@nmjaminhyun Tapi bonekanya terlalu besar. Nanti aku suruh dia naik gojek aja deh :(,t.co,"/Ir8UsJe7FX"""
@gojek_jkt_0715 @GojekJekarda iyee.. nambahnya 30k mantep banget,://t,".co/mbE55qNPyI"""
""" @gojekindonesia sore, saya ada pemesanan dari shopee via gojek. Tidak ada livetracking via sms. Di shopee statusnya  https:/",,
""" @GoPlus90 @GojekJekarda @DriverGojekPro Klo kata kawan gua tuh PT GI kek bini yg tau lakinya selingkuh """"gpp isinya https://",t.co,"/ZeKQUeUCQS"""
""" @gojekindonesia saya mendapatkan sms undangan untuk datang atas kelanjutan mendaftaran gosend, tetapi sms nya terhadap https",//t.,"co/20Wuicj4AJ"""
"""@GoPlus90 @GojekJekarda @DriverGojekPro """"ceraikan aku saja Rhoma"""" kata neng Rika kepada bang oma""",,
"""Agak bingung sama promo gojek mulai dari 2000 ini @gojekindonesia Kalopun bukan rush hour, pasti surcharge. Walhasil https://",,
""" @gojekindonesia Lalu, tlp saya matikan. Dia coba tlp berkali2. Tapi saya diamkan saja. Yg saya herankan, sms nya ada  https:",,
@gojekindonesia Saya tidak bisa mengirimkan DM ke Gojek,,
@gojekindonesia info untuk hapus akun gojek dong min,t.co,/7mHYvSvo29
"""@gojekindonesia halo min, apakah gojek buka lowongan magang anak smk? Jurusan saya Teknik Komputer Jaringan.""",,
@gojekindonesia gojek kenapa order satu driver yang datang 5.,,
@gojekindonesia O ini bapak gojek saya cerita kegalauannya. Karena pelanggannya yg minta anter paket blm kasih rate  https://,,
@gojekindonesia pagi2 aplikasi gojek driver sdh error...pembayaran gopay blm masuk...point yg didapat juga blm ditambahkan....,,
"""@gojekindonesia @AyaJKT48_ Karena adminnya ayaoshi, jadi mulai sekarang saya naik gojek terus Mantap jeketi""",ang,"sering aneh"""
"""@gojekindonesia bye bye gojek, ga bisa update memory penuh....""",ps:/,"/t.co/kxxGvhvhPC"""
@gojekindonesia min saya tidak bisa masuk ke akun gojek. Karena nomer yang di akun saya sudah hangus. Bagaimana solusinya?,.co/,LXVw1yquMT
"""RT @adamdianto: @AuroraSpruit @gojekindonesia Bisa jd pakai tuyul, atau gps-nya masih nyangkut. Aplikasi gojek utk driver kad",,
""" @gojekindonesia Begini, ketika saya order gojek dari stasiun Bogor ke rumah kakak di Batu Tulis Saya dengan kode voucher htt",/t.c,"o/J6mBE4yTjk"""
Keren !!! @gojekindonesia tau bagaimana caranya menghargai kinerja keras mitra kerjanya. selamat buat abang2 driver  https://t,co/M,T2crJ8J2q
@gojekindonesia Gojek hanya kurang care sama mitranya...adakah yg kaya karena gojek...,//t.,"co/J6mBE4yTjk"""
""" @popokman @gojekindonesia @GrabID Kalo ku semenjak gojek mahal padahal ku dulu langganan tiap hari sm dia, berpindah https:/",s://,"t.co/ovjsGVpggK"""
Kuampretttt!!! @qitmr @ZoneWarPuji @SiegerAnwalt @DriverGojekPro @gojek_jkt_0715 @YoGojekYo @budakgojek @lambeonlen https://t.,,
""" @popokman @gojekindonesia @GrabID Kalo ku semenjak gojek mahal padahal ku dulu langganan tiap hari sm dia, berpindah  https:",,
""" @gojekindonesia dear gojek ko akun saya belum diverifikasi? pdahal saya sudah tunggu, persyaratan foto ktp sudah benar  http",,
""" @NS_jkt @GojekJekarda Pinggiran gagu gua bang.apalagi Bintaro,mending gw traktir lu ayam penyet drpd gw ngebid ga masuk2 """,s://,t.co/EzjVKfvLFE
"""@gojekindonesia min, kenapa kalo order gofood/gojek gabisa antar kota lagi ya sekarang?""",,
@gojek_jkt_0715 selamat anda driver terpilih.. ane ga dpt bang.. gojek ngeri boncos x,ang,"sering salah"""
@gojekindonesia Pantas driver Gojek kalah banyak bersliweran dibanding driver Grab. Tarifnya aja Gopay bisa lebih murah  http,/t.c,"o/06sM1Ums9y"""
@gojek_jkt_0715 @budakgojek @DriverGojekPro @YoGojekYo Pin yg terbuat dari Kevlar..,,
"""RT @adamdianto: @AuroraSpruit @gojekindonesia Bisa jd pakai tuyul, atau gps-nya masih nyangkut. Aplikasi gojek utk driver kad",t.co,/LJJeFacFL6
""" @gojekindonesia Saya sudah daftar online dan sdh mendapatkan sms untuk aktifasi ke kantor gojek, tapi ternyata tidak https:/",t.co,"/q6kU0xLMuW"""
""" @NS_jkt @GojekJekarda Pinggiran gagu gua bang.apalagi Bintaro,mending gw traktir lu ayam penyet drpd gw ngebid ga masuk2""",,
@gojekindonesia Kak nanya donk.. Kalo kita ngasih lebih kepada driver..?? Apakah itu uang kelebihannya harus di set  https://,//t.,"co/FcaYYO5J3d"""
""" @gojekindonesia saya mau mengeluhkan sikap gojek yang tidak pantas, tolong ditindaklanjuti segera karna driver ini  https://",,
@gojekindonesia info untuk hapus akun gojek dong min,t.co,"/8XUbPOWhOw"""
""" @gojekindonesia | Sore kemarin aya pesan gojek ke suatu tempat, lalu saya order... karena sudah mendung dan mau hujan https:",t.co,"/ewXQClW9qh"""
Sy br sj dpt tlp penipuan yg mengaku gojek dan meminta pin gopay. Pls fu! @gojekindonesia,5 bl,m nympe
""" @gojekindonesia barusan saya dapet telpon dari nomor ini, ngaku dari gojek bilang saya dpt 2jt dlm rangka ultah goj https://",,
""" @gojekindonesia thx gojek sdh dikmblkn sisa uang yg diambil supir taksi. saran sy, sebaikny jgn KS lg sm bluebird.  https://",,
@gojekindonesia nomor resinya kan udah berubah ubah. Dan tadi sore udah dibatalin lagi. Apa gunanya saya pake gojek kl dr tgl,co/i,"YskSEWT5M"""
@gojekindonesia sudah hampir 3 minggu akun gojek saya diblokir. Gimana cara buka kembali?,co/y,"FJhWholFU"""
"""Harga gojek, gocar skrg udah Naik. Balik lagi dah Naik angkot dkk @gojekindonesia""","""",
"""Halo admin @gojekindonesia saya ingin merubah nomor telepon di akun gojek saya tapi saya lupa dengan pin gopaynya, https://t.",,
"""Demi fasilitas servis @gojekindonesia bisa di atur, HARGANYA nya NAUJUBILLAH. gue pake gojek kalau di stasiun aja  https://t.",,
"""@gojekindonesia klo gosend kok ngak ada """"kirim struk"""" seperti yg ada di gojek? klo saya butuh struk, gmn cara nya yah??tks.",n ht,"tps://t.co/34yKkCKdq5"""
@GojekJekarda @DriverGojekPro Cuma membantu pak polisi agar tida mangkal pinggir jalan dan menjaga ketertiban lalin,/t.c,o/L988XfIJQH
@gojekindonesia Gojek hanya kurang care sama mitranya...adakah yg kaya karena gojek...,.co/,2NW0lbUKy1
""" @gojekindonesia Ini gara gara update baru, atau memang harga gojek semakin mahal ya? Ada yang merasakan apa yang saya rasaka",,
@gojekindonesia lagi bagi2 voucher gopay 1 juta rupiah kah? Malam2 ada yg nelpon mengaku dari gojek mau kasih voucher https:/,t.co,/c5NX4FhQir
@gojekindonesia Saya hampir setiap hari pake jasa gojek tapi hanya sekitar 1 dari 10 driver yg chat nya warna biru. https://t,,
RT @pambudi_radit: Mohon bantuanya bang @DriverGojekPro @gojek_jkt_0715 @YoGojekYo @lambeonlen https://t.co/F8eyCrqVAo,,
@gojekindonesia min gua mau nanya KALAU PESEN GO BLUEBIRD DARI BANDARA SOETTA KE JAKARTA UTARA BISA KAGA? TANPA Hal  https://,,
@gojek_jkt_0715 @budakgojek @DriverGojekPro @YoGojekYo Pin yg terbuat dari Kevlar..,.co/,"mb3wNbVJzR"""
@gojekindonesia pagi2 aplikasi gojek driver sdh error...pembayaran gopay blm masuk...point yg didapat juga blm ditambahkan....,,
""" @NS_jkt @GojekJekarda Pinggiran gagu gua bang.apalagi Bintaro,mending gw traktir lu ayam penyet drpd gw ngebid ga masuk2""",r ta,"rifnya,, """
""" @emkanna @gojekindonesia nah waktu itu langsung ditelpon+sms ke abang gojek, tapi ndak ada tanggapan, akhirnya ya  https://t",,
"""@gojekindonesia halo min, apakah gojek buka lowongan magang anak smk? Jurusan saya Teknik Komputer Jaringan.""",,
"""RT @NANHAA_: @yunsitroh2014 @gojekindonesia Aq punya 2 aplikasi setiap mau pesen aq bandingin harga nah gojek lebih tinggi sk",,
""" @gojek_jkt_0715 mumpung dpt skema bgitu, maen pinggiran bang """,,
@GojekJekarda @DriverGojekPro Cuma membantu pak polisi agar tida mangkal pinggir jalan dan menjaga ketertiban lalin,co/S,"mDYsNp6am"""
@gojekindonesia min.. kalau daftar jadi mitra untuk daerah Purwokerto gimana? Sedangkan Kantor Gojek setempat sudah ditutup..,,
@GojekJekarda @DriverGojekPro Bhahahaahahaha....klo di fb udh rusuh tuh klo ada yg posting begituan,ek x,ixixixi
"""Tadi pas lagi naik @gojekindonesia, gue di telpon sama nomor 0818 828215. Karena lg di motor, driver minggir dulu, https://t.",.co/,FUBQHqUoCX
@gojekindonesia ini keren sekali aplikasi gojek https://t.co/5XmMyOXDBM,xOKS,m
RT @aku_driverbdg: @ZoneWarPuji @lambeonlen @DriverGojekPro @drivergojek1923 @DriverGocar @YoGojekYo @gojek_jkt_0715 @budakgoj,,
@gojekindonesia akun gojek saya tidak punya authorised untuk login. Saya sudah melaporkan hal ini 4 hari yang lalu  https://t,,
@gojekindonesia halo min ini gimana ya buat tokopedia gojek? Dari tanggal 3 ga di pick up pick up barangnya https://t.co/QYLbg,ya?,""""
Tampilan baru @gojekindonesia Segar...  Akses layanan favorit makin mudah  #gojek https://t.co/T5WJb8KofO,xOKS,m
Met sore min @gojekindonesia maunnya knapa aplikasi gojek ga bisa melakukan pemesanan ya?,er6O,sj0FQo
"""@gojekindonesia min saya nadia mahasiswi unjani, kira kira kalau mau wawancara tentang proses bisnis di gojek bandung bisa ga",,
@gojekindonesia halo min ini gimana ya buat tokopedia gojek? Dari tanggal 3 ga di pick up pick up barangnya https://t.co/QYLbg,co/X,"J70OcELlm"""
@gojekindonesia maaf mau nanya terkait akun saya yg tiba2 tdk bisa digunakan utk order layanan gojek dan gofood https://t.co/,,
@gojekindonesia gojek kenapa order satu driver yang datang 5.,/t.c,o/rz65yokpYJ
""" @gojekindonesia Hello Gojeknya .. saya mau nanya dong, teman saya ada panggilan gojek (Go-ride) tapi sudah lama,  https://t.",a da,erah?
@gojek_jkt_0715 *mau ga mau yaa bubar*,/t.c,"o/J6mBE4yTjk"""
@gojekindonesia min nomer resi GK-66051403 bisa mnta cari driver baru??? dari jam 11.38 barang blm dipickup trs saya  https:/,vYK7,kWvB
Malam @gojekindonesia saya driver gojek.. Apa tidak ada tindakan dari pihak gojek terkait order fiktif yang merajalela di semu,,
""" @popokman @gojekindonesia @GrabID Kalo ku semenjak gojek mahal padahal ku dulu langganan tiap hari sm dia, berpindah https:/",kun?,""""
@gojekindonesia gojek skrg paling mahal diantara 3 online motor taxi yg ada dsini. Pake gopay pun ga bikin ... https://t.co/rc,,
@gojekindonesia om bikin gojek dong om di aussie,,
"""@gojekindonesia Hai gojek, teman saya mendaftar akun gojek menggunakan email saya pribadi, boleh tolong dibantu penghapusan a",co/r,lN6TnO24v
@gojekindonesia @baetirohmah Ah mahal gojek skrg:((((((,,
@ismi1191 @gojekindonesia Di chadea tsb titik penjemputan customer oleh driver gojek https://t.co/7jmmm3U8s0,,
@gojekindonesia min kenapa driver gojek suka menunda2 paket antaran padahal tertulis same day @tokopedia beda sama https://t.,,
@gojekindonesia 2x ada notif dapet voucher gojek 8000 tapi pas di cek kok kosong yaa? https://t.co/JVCbCU7b8F,,
